Bot_L,Bot_R,Timer,ActInterval,Round,SkillLeft,SkillRight,Games,Winner_L,Winner_R,ActionCounts_L,ActionCounts_R,TotalActions,Duration_L,Duration_R,Collisions_L,Collisions_R,Collisions_Tie,MatchDur,Accelerate_Dur_L,TurnLeft_Dur_L,TurnRight_Dur_L,Dash_Dur_L,SkillBoost_Dur_L,SkillStone_Dur_L,Accelerate_Dur_R,TurnLeft_Dur_R,TurnRight_Dur_R,Dash_Dur_R,SkillBoost_Dur_R,SkillStone_Dur_R,Accelerate_Act_L,TurnLeft_Act_L,TurnRight_Act_L,Dash_Act_L,SkillBoost_Act_L,SkillStone_Act_L,Accelerate_Act_R,TurnLeft_Act_R,TurnRight_Act_R,Dash_Act_R,SkillBoost_Act_R,SkillStone_Act_R,WinRate_L,WinRate_R,Rank_L,Rank_R
Bot_BT,Bot_Primitive,45.0,0.1,BestOf1,Stone,Stone,10,4,6,2133,2756,4889,101.35788716459999,55.97541299499999,31,19,20,18.698391051999998,8.646679398999993,9.324201208599995,45.203566996999996,38.18343956,0.0,0.0,6.734078374999994,2.034256649999993,5.976940180000001,41.23013779000001,0.0,0.0,727,506,883,17,0,0,1421,437,871,27,0,0,0.4,0.6,3,2
Bot_BT,Bot_Primitive,45.0,0.1,BestOf3,Boost,Stone,10,2,8,1810,2441,4251,162.9863584395999,225.19166014299995,116,45,36,35.39539473000001,55.593118288999975,51.234496533599994,36.03936200699998,11.248757609999984,8.87062399999999,0.0,50.38578565299996,61.20151491999999,50.92724734000001,39.235258229999985,0.0,23.441853999999985,602,517,569,90,32,0,1507,363,425,112,0,34,0.2,0.8,3,2
Bot_BT,Bot_Primitive,45.0,0.1,BestOf3,Boost,Boost,10,2,8,1603,1944,3547,97.43871770049998,131.52139898499996,60,52,50,27.197546470000002,30.931485972999997,25.8348689865,24.32546717099999,9.033908169999993,7.312987399999992,0.0,15.82417677499999,21.229435820000003,10.557020509999996,20.761141379999998,63.149624499999994,0.0,543,370,647,34,9,0,1099,282,479,52,32,0,0.2,0.8,3,2
Bot_BT,Bot_Primitive,45.0,0.1,BestOf1,Stone,Boost,10,10,0,1845,2311,4156,38.414369589999986,27.898206622999993,39,32,20,17.74231522,11.022529418999994,13.502267778999995,10.935472381999999,2.690143109999997,0.0,0.2639568999999984,8.419017783000001,4.20427058,6.425271800000003,5.9078663599999945,2.941780100000001,0.0,643,223,949,27,0,3,1195,138,937,37,4,0,1.0,0.0,3,2
Bot_BT,Bot_Primitive,45.0,0.1,BestOf3,Stone,Stone,10,4,6,3718,4315,8033,484.71873185519996,497.48366668199986,75,89,54,30.711338570000002,26.55843716179999,98.82078439739996,106.46508033599999,122.03140166,0.0,130.8430283,15.575411701999993,82.82286999999998,71.35715157000001,177.40729391,0.0,150.32093949999995,1679,620,1301,87,0,31,2620,486,1079,98,0,32,0.4,0.6,3,2
Bot_BT,Bot_Primitive,45.0,0.2,BestOf3,Stone,Boost,10,4,6,1314,1168,2482,199.3892757183,405.984680488,23,9,12,31.857461629999996,48.594269797999985,54.156694544299995,96.50757521599998,0.1307361600000001,0.0,0.0,48.551761607999985,33.58884498999999,65.09651167999998,20.08597081,238.66159140000002,0.0,635,168,506,5,0,0,630,109,400,10,19,0,0.4,0.6,3,2
Bot_BT,Bot_Primitive,45.0,0.2,BestOf3,Boost,Boost,10,7,3,8603,8446,17049,93.81405686870006,42.57354046500007,47,43,34,41.84946798,10.17715382500003,34.23621398870001,13.575674645000031,35.732897210000004,0.09211720000000234,0.0,11.352649225000032,20.476291059999998,6.86648700000003,1.784801880000003,2.0933113,0.0,4317,331,3909,40,6,0,4314,177,3906,42,7,0,0.7,0.3,3,2
Bot_BT,Bot_Primitive,45.0,0.2,BestOf3,Stone,Stone,10,2,8,1389,1134,2523,512.0214808198,517.24076373,60,52,12,37.104004985,102.12877382999999,102.02926295779999,135.75226326199999,94.80209217,0.0,77.30908860000001,106.58987715999999,77.60044014,134.31607376,78.11606877000001,0.0,120.6183039,694,219,407,45,0,24,657,149,234,60,0,34,0.2,0.8,3,2
Bot_BT,Bot_Primitive,45.0,0.2,BestOf3,Boost,Stone,10,3,7,1634,1435,3069,182.07069671800005,354.137459893,89,23,20,39.55094964,58.713009633000006,58.53362906000001,57.141508845000004,4.123667780000007,3.558881400000004,0.0,99.075486623,43.47487747000001,131.17250133000002,8.976617570000007,0.0,71.43797690000001,785,203,578,40,28,0,821,95,415,63,0,41,0.3,0.7,3,2
Bot_BT,Bot_Primitive,45.0,0.2,BestOf1,Boost,Stone,10,2,7,2890,2884,5774,35.09069975779999,46.017883886,38,21,16,33.94540955000001,8.842789555999993,19.335685018800007,5.0550128429999885,1.3818848399999992,0.47532750000000057,0.0,10.848855775999994,20.214831030000006,5.684697389999991,7.181646889999999,0.0,2.087852800000004,1452,170,1240,24,4,0,1511,87,1251,31,0,4,0.2,0.7,3,2
Bot_BT,Bot_Primitive,45.0,0.2,BestOf1,Stone,Boost,10,7,3,3257,3143,6400,37.025786658300014,20.570795543,19,22,10,36.21701495000001,7.860356083000003,15.754500908300002,11.876203407000002,1.5110513600000006,0.0,0.023674900000001387,7.661942783000001,7.817179839999998,3.35561313,1.0764128900000012,0.6596469000000003,0.0,1643,127,1465,20,0,2,1604,72,1444,20,3,0,0.7,0.3,3,2
Bot_BT,Bot_Primitive,45.0,0.2,BestOf1,Boost,Boost,10,6,4,3950,3902,7852,20.672150945900007,11.015479029000003,10,8,8,41.866286169999995,3.7190689390000014,9.9825534489,6.553580558000001,0.4169480000000001,0.0,0.0,3.919801759000001,4.198357339999999,2.035857690000002,0.40375004000000025,0.45771220000000135,0.0,1987,71,1887,5,0,0,1983,41,1871,6,1,0,0.6,0.4,3,2
Bot_BT,Bot_Primitive,45.0,0.2,BestOf1,Stone,Stone,10,2,6,4049,3975,8024,75.8266910317,63.45395769899998,17,18,16,45.001246050000006,5.942102148999988,29.5448332617,10.551391040999992,15.569699580000005,0.0,14.218665000000003,5.546945958999988,7.571933069999998,19.55701904999999,15.147538020000002,0.0,15.630521600000003,2051,143,1830,22,0,3,2045,66,1842,19,0,3,0.2,0.6,3,2
Bot_BT,Bot_Primitive,60.0,0.1,BestOf3,Stone,Stone,10,2,8,3125,3545,6670,754.3104994773,645.272228211,101,108,62,39.765269440000004,64.42399305769997,171.11222309959996,155.83175788999998,170.93720553000003,0.0,192.00531990000002,44.171948001,98.87141220999999,121.92909223999999,192.53122866,0.0,187.7685471,1485,523,965,109,0,43,2269,339,765,124,0,48,0.2,0.8,3,2
